rate,pattern,plot,rye_g,STEME,VERAR,VIOAR,CERVU,THLAR,SETFA,ERPVE,VERPG,CIRAE,AMBEL,LAMAM,CHEAL,CARHI,weeds_g
112,r,101,99.8,0.018,0.017,0.418,0,0,0,0.06,0,0,0,0,0,0,0.513
28,r,102,57.2,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0.112
112,g,103,66.2,0.113,0.009,0,0,0,0,0,0,0,0,0,0,0,0.122
56,r,104,73.3,0.02,0.037,0,0,0,0,0,0,0,0,0,0,0,0.057
168,g,105,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,control,106,0,0.828,0,0,0,0,0.008,0,0,0,0,0,0,0,0.836
56,g,107,104.8,0.047,0.03,0,0,0,0,0,0,0,0,0,0,0,0.077
28,g,108,62.2,0.123,0.161,0,0,0.034,0.003,0.002,0.005,0,0,0,0,0,0.328
168,r,109,77.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,g,201,51.3,0.023,0.021,0,0,0,0,0,0,0,0,0,0,0,0.044
168,r,202,71.3,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0.056
112,r,203,41.7,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0.011
56,r,204,46.8,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0.167
0,control,205,0,2.871,0.576,0.022,0,0,0,0.204,0,0,0,1.27,0.039,0,4.982
56,g,206,26.8,0.002,0,0.484,0,0,0,0,0,0,0,0,0,0,0.486
28,r,207,22.4,0.061,0,0,0.012,0,0,0,0.032,0,0,0,0,0,0.105
28,g,208,49.3,0,0.012,0,0,0,0,0.018,0,0,0,0,0,0,0.03
168,g,209,107.6,0.006,0.032,0,0.005,0,0,0,0,0,0,0,0,0,0.043
56,g,301,59.6,0.016,0.037,0,0,0,0,0,0,0,0,0,0,0,0.053
28,g,302,92,0.158,0,0,0.024,0.009,0,0,0,0,0,0,0,0,0.191
112,r,303,75.7,0.05,0.022,0.012,0,0,0,0,0,0,0,0,0,0,0.084
28,r,304,74.7,0.247,0,0.018,0,0.048,0,0.004,0,0,0,0,0,0,0.317
112,g,305,56.5,0.183,0,0,0,0,0,0,0,1.044,0.017,0,0,0,1.244
168,g,306,113.1,0.043,0.001,0,0.097,0,0,0,0,0,0,0,0,0,0.141
168,r,307,82.9,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0.008
56,r,308,53.7,0.215,0,0,0,0,0,0.144,0,0,0,0,0,0,0.359
0,control,309,0,1.518,0,0,0.011,0.066,0.207,0.326,0.107,0,0,0.063,0.035,0.233,2.566
